POI_ID,POI,category,type,description,latitude,longitude,entry_fee,avg_duration_mins,opening_time,closing_time,best_time,popularity_score,Shows and Concerts,Scenic,Local Experiences,Religious,History and Culture,Museum,Food and Drinks,Adventure,Shopping
POI1,Marina Beach,Beach,Beach,World's second-longest urban beach (13 km),13.0499,80.2824,0,120,00:00,23:59,Evening 4-7 PM,9.8,1,5,4,0,2,0,4,2,1
POI2,Kapaleeshwarar Temple,Temple,Religious,Ancient Shiva temple with Dravidian architecture,13.0337,80.2698,0,60,05:00,21:00,Morning 6-8 AM,9.5,0,3,4,5,5,2,1,0,1
POI3,Phoenix Market City,Mall,Shopping,Premium shopping destination,12.9965,80.248,0,240,10:00,22:00,Evening,9.2,3,3,4,0,0,0,5,2,5
POI4,Santhome Cathedral Basilica,Church,Religious,Built over tomb of St. Thomas,13.0327,80.2779,0,45,06:00,20:00,Morning,9.0,0,4,3,5,5,2,0,0,0
POI5,T Nagar,Shopping,Market,Commercial hub for shopping,13.0419,80.2348,0,240,10:00,21:00,Evening,9.0,0,1,5,0,1,0,4,0,5
POI6,Express Avenue Mall,Mall,Shopping,Large shopping mall,13.0631,80.2426,0,180,10:00,22:00,Evening,9.0,2,2,3,0,0,0,5,1,5
POI7,Fort St. George,Heritage,Historical,First British fortress in India,13.08,80.2872,200,150,09:00,17:00,Morning,8.8,0,4,3,2,5,4,0,0,0
POI8,Dakshina Chitra Museum,Museum,Cultural,Living museum of South Indian culture,12.8884,80.2619,300,240,10:00,18:00,Morning,8.5,3,4,5,2,5,5,2,1,3
POI9,Edward Elliot's Beach,Beach,Beach,"Popular beach with lighthouse, less crowded than Marina",13.0012,80.2709,0,90,00:00,23:59,Evening 4-7 PM,8.5,1,5,4,0,1,0,3,1,1
POI10,Pondy Bazaar,Shopping,Market,Street shopping paradise,13.0419,80.2348,0,180,10:00,21:00,Evening,8.5,0,2,5,0,1,0,4,0,5
POI11,ISKCON Temple Chennai,Temple,Religious,Krishna temple with cultural center,13.0169,80.2228,0,60,04:30,21:00,Evening aarti,8.5,2,3,3,5,3,1,2,0,1
POI12,VR Chennai,Mall,Shopping,Modern shopping mall,12.9965,80.248,0,180,10:00,22:00,Evening,8.5,2,2,3,0,0,0,5,1,5
POI13,Parthasarathy Temple,Temple,Religious,8th-century Vaishnavite temple,13.0343,80.2778,0,45,06:00,12:00,Morning,8.5,0,3,3,5,4,1,0,0,0
POI14,Kora Food Street,Food,Food,Famous street food destination,13.0631,80.2426,0,90,18:00,23:00,Evening,8.5,0,1,5,0,0,0,5,0,0
POI15,ECR Road Drive,Scenic Drive,Adventure,Scenic coastal highway,12.8956,80.2678,0,120,00:00,23:59,Morning/Evening,8.5,0,5,3,0,0,0,3,3,0
POI16,The Forum Vijaya Mall,Mall,Shopping,Shopping mall in Vadapalani,13.0542,80.2189,0,180,10:00,22:00,Evening,8.2,2,2,3,0,0,0,5,1,5
POI17,Arignar Anna Zoological Park,Zoo,Nature,Large zoo with safari,12.8829,80.0824,50,240,09:00,17:00,Morning,8.2,0,3,3,0,1,1,1,2,0
POI18,Amethyst Cafe,Cafe,Food,Heritage cafe and restaurant,13.0452,80.2772,0,90,09:00,22:00,Afternoon,8.2,0,4,4,0,2,0,5,0,1
POI19,Kalakshetra Foundation,Cultural,Art,Fine arts and dance academy,13.0085,80.2736,0,120,09:00,17:00,During performances,8.2,5,4,4,1,4,2,0,0,1
POI20,Government Museum Chennai,Museum,Cultural,Archaeological and historical museum,13.0712,80.2635,50,180,09:30,17:00,Morning,8.2,0,2,3,1,5,5,0,0,0
